n_components,accuracy,time_seconds
2,0.6815642458100558,133.03055596351624
12,0.6871508379888268,381.4568359851837
22,0.5810055865921788,1103.0361852645874
32,0.5251396648044693,2528.7071709632874
42,0.5698324022346368,2506.600345134735
52,0.5810055865921788,2469.0772848129272
62,0.5251396648044693,348.0007221698761
72,0.5363128491620112,23.557176113128662
82,0.5307262569832403,0.3089020252227783
92,0.49162011173184356,0.19248390197753906
102,0.5363128491620112,0.11903214454650879
112,0.5027932960893855,0.10416793823242188
122,0.5307262569832403,0.08690500259399414
132,0.4301675977653631,0.0993502140045166
142,0.5251396648044693,0.08581304550170898
152,0.4860335195530726,0.08764386177062988
162,0.5083798882681564,0.08547592163085938
172,0.4301675977653631,0.08918619155883789
182,0.5139664804469274,0.08158421516418457
192,0.5418994413407822,0.07907891273498535
